epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8675,1.55992,2.6099,1.75715,0.00644,1,0.5907,0.28716,1.46361,2.50776,1.74019,0.00045009,0.00045009,0.00045009
2,21.1375,1.48949,1.91523,1.64991,0.61318,0.75397,0.73299,0.39203,1.64865,1.68995,1.97392,0.000898696,0.000898696,0.000898696
3,31.6133,1.47399,1.66533,1.59175,0.4166,0.69444,0.6626,0.30168,1.68189,2.26596,2.0088,0.00132882,0.00132882,0.00132882
4,40.7897,1.50598,1.56294,1.61087,0.82308,0.92493,0.93637,0.45324,1.68931,1.38511,2.02373,0.00156798,0.00156798,0.00156798
5,49.913,1.50582,1.42811,1.5857,0.71518,0.91527,0.95245,0.50782,1.52507,1.7506,1.74848,0.00153497,0.00153497,0.00153497
6,59.9879,1.49788,1.35636,1.58777,0.92105,0.83174,0.89715,0.49057,1.53775,1.49048,1.78564,0.00150197,0.00150197,0.00150197
7,69.8658,1.46799,1.2751,1.54848,0.95584,0.95437,0.97935,0.50876,1.56357,1.21402,1.84546,0.00146896,0.00146896,0.00146896
8,78.3041,1.45815,1.22049,1.54262,0.71592,0.83255,0.82313,0.44655,1.63782,1.35528,1.85355,0.00143595,0.00143595,0.00143595
9,88.1048,1.43142,1.11487,1.50971,0.91093,0.92079,0.9415,0.50663,1.59509,1.06377,1.77067,0.00140295,0.00140295,0.00140295
10,97.9376,1.40922,1.13653,1.54883,0.92529,0.93221,0.97265,0.52796,1.56096,0.87685,1.71522,0.00136994,0.00136994,0.00136994
11,106.708,1.41858,1.10471,1.51389,0.90607,0.91853,0.96375,0.51792,1.57443,0.90388,1.76411,0.00133693,0.00133693,0.00133693
12,116.675,1.4271,1.08953,1.52248,0.85193,0.83451,0.91322,0.50213,1.5851,0.94905,1.80136,0.00130393,0.00130393,0.00130393
13,126.224,1.41674,1.02133,1.48163,0.99133,0.97294,0.99448,0.52848,1.55924,0.71554,1.74982,0.00127092,0.00127092,0.00127092
14,134.684,1.39606,0.98167,1.49747,0.95864,0.94569,0.97901,0.56463,1.57112,0.8745,1.74432,0.00123791,0.00123791,0.00123791
15,144.606,1.35788,0.96802,1.47924,0.93573,0.95437,0.96892,0.5363,1.57647,0.75297,1.76638,0.00120491,0.00120491,0.00120491
16,154.05,1.36127,0.98079,1.46203,0.91145,0.98351,0.97961,0.59619,1.44135,0.67214,1.63026,0.0011719,0.0011719,0.0011719
17,162.61,1.40524,0.90881,1.48505,0.9859,0.96686,0.9925,0.55034,1.51869,0.66476,1.70613,0.00113889,0.00113889,0.00113889
18,172.525,1.35184,0.9155,1.49314,0.97451,0.97222,0.9925,0.61975,1.45799,0.6523,1.66539,0.00110589,0.00110589,0.00110589
19,182.169,1.3083,0.88951,1.44645,0.93809,0.94444,0.96098,0.55042,1.51129,0.70276,1.72859,0.00107288,0.00107288,0.00107288
20,190.993,1.29029,0.85345,1.43183,0.96211,1,0.98789,0.58626,1.47384,0.61683,1.65293,0.00103987,0.00103987,0.00103987
21,200.871,1.31103,0.8553,1.42895,0.82353,0.97222,0.9292,0.52012,1.47235,0.72787,1.66383,0.00100687,0.00100687,0.00100687
22,210.516,1.33834,0.85876,1.45629,0.9542,0.95772,0.98856,0.55473,1.52951,0.67608,1.71978,0.000973861,0.000973861,0.000973861
23,219.084,1.32308,0.83297,1.44069,0.99179,1,0.995,0.56689,1.49288,0.5391,1.65047,0.000940855,0.000940855,0.000940855
24,228.789,1.28734,0.78773,1.41987,0.97667,0.9872,0.99448,0.5729,1.52071,0.57507,1.65741,0.000907848,0.000907848,0.000907848
25,237.982,1.29127,0.77903,1.41115,0.96539,0.97222,0.96407,0.58326,1.52096,0.5777,1.72175,0.000874842,0.000874842,0.000874842
26,247.128,1.27544,0.78856,1.39734,0.98157,1,0.995,0.58539,1.43268,0.55091,1.68217,0.000841835,0.000841835,0.000841835
